country;WBK Y2016;WBK Y2017;WBK Y2018;WBK Y2019;WBK Y2020;WBK Y2021;IMF Y2019;IMF Y2020;IMF Y2021;IMF Y2022;IMF Y2023;IMF Y2024;IMF Y2025;IMF Y2026;Delta Y2019;Delta Y2020;Delta Y2021
Dominica;;;;;;;7.5;-11;3.4;7.9;5.9;4.8;4.2;2.5;;;
Dominican Republic;6.6;4.6;7;5.2;5;5;;;9.5;5.5;5;5;5;5;;;4.5
East Asia and Pacific (EAP);6.3;6.5;6.3;5.9;5.9;5.8;;;;;;;;;;;
Ecuador;-1.2;2.4;1.4;0;0.4;0.8;;;2.8;3.5;2.5;2.6;2.8;2.8;;;2
Egypt;4.3;4.2;5.3;5.5;5.8;6;;;3.3;5.2;5.6;5.7;5.8;5.8;;;-2.7
El Salvador;2.5;2.3;2.5;2.6;2.5;2.4;;;9;3.5;2.3;2.2;2;1.8;;;6.6
Emerging Market and Developing Economies;4.1;4.5;4.3;4;4.6;4.6;;;6.4;5.1;4.6;4.5;4.4;4.4;;;1.8
Equatorial Guinea;-8.8;-4.7;-2.9;-2.2;-1.9;-1.8;;;4.1;-5.6;-1.5;-1;-2.8;-2.1;;;5.9
Eritrea;;;;;;;3.8;-0.6;2.9;4.8;3.8;3.8;3.9;3.9;;;
Estonia;;;;;;;4.1;-3;8.5;4.2;3.7;3.4;3.2;3.2;;;
Eswatini;3.2;1.9;0.5;1.1;1.6;1.7;;;1.5;1.7;1.8;2;2.1;2.2;;;-0.2
Ethiopia;7.6;10.2;7.9;7.9;8.2;8.2;;;2;0;0;0;0;0;;;-6.2
Euro Area;2;2.4;1.8;1.2;1.4;1.3;;;;;;;;;;;
Euro area;;;;;;;1.5;-6.3;5;4.3;2;1.6;1.4;1.4;;;
Europe and Central Asia (ECA);1.9;4.1;3.1;1.6;2.7;2.9;;;;;;;;;;;
Fiji;0.7;3;3.2;3.4;3.3;3.3;;;-4;6.2;8.3;6.4;4.5;3.4;;;-7.3
Finland;;;;;;;1.3;-2.9;3;3;1.5;1.3;1.3;1.3;;;
France;;;;;;;1.8;-8;6.3;3.9;1.8;1.5;1.4;1.4;;;
Gabon;2.1;0.5;0.8;2.8;3.7;3.9;;;1.5;3.9;3.2;3.4;3.4;3.5;;;-2.4
Gambia The;0.4;4.6;6.6;5.4;5.2;5;;;4.9;6;6.5;6.5;5.8;5.6;;;-0.1
Georgia;2.8;4.8;4.7;4.6;4.8;5;;;7.7;5.8;5.5;5.2;5.2;5.2;;;2.7
Germany;;;;;;;1.1;-4.6;3.1;4.6;1.6;1.4;1.1;1.1;;;
Ghana;3.4;8.1;6.3;7.6;7;5.8;;;4.7;6.2;4.7;5;5.8;5.2;;;-1.1
Greece;;;;;;;1.9;-8.2;6.5;4.6;2.6;1.8;1.5;1.3;;;
Grenada;3.7;5.1;5.2;3.9;3.7;3.7;;;2.7;6.2;5.8;4.6;3.1;2.8;;;-1
Guatemala;3.1;2.8;3.1;3.3;2.7;3;;;5.5;4.5;3.8;3.5;3.5;3.5;;;2.5
Guinea;10.5;10.6;5.8;5.9;6;6;;;5.2;6.3;5.9;5.6;5.2;5.4;;;-0.8
Guinea-Bissau;6.3;5.9;3.8;4.3;4.8;5.5;;;3.3;4;5;5;5;5;;;-2.2
Guyana;3.4;2.1;4.1;4.6;33.5;22.9;;;20.4;48.7;32.1;3.6;3.7;3.7;;;-2.5
Haiti;1.5;1.2;1.5;0.4;1.6;1.3;;;-0.7;1.3;1.3;1.3;1.4;1.4;;;-2
Honduras;3.9;4.8;3.7;3.6;3.8;3.9;;;4.9;4.3;3.5;3.6;3.7;3.9;;;1
Hong Kong SAR;;;;;;;-1.7;-6.1;6.4;3.5;3.1;2.9;2.8;2.8;;;
Hungary;2.3;4.1;4.9;3.8;2.8;2.6;;;7.6;5.1;3.8;3.2;2.6;2.6;;;5
Iceland;;;;;;;2.4;-6.5;3.7;4.1;3.7;2.6;2.4;2.3;;;
India;8.2;7.2;7.2;7.5;7.5;7.5;;;9.5;8.5;6.6;6.3;6.2;6.1;;;2
Indonesia;5;5.1;5.2;5.2;5.3;5.3;;;3.2;5.9;6.4;5.6;5.3;5.2;;;-2.1
Iran;13.4;3.8;-1.9;-4.5;0.9;1;;;2.5;2;2;2;2;2;;;1.5
Iraq;13.6;-1.7;0.6;2.8;8.1;2.3;;;3.6;10.5;5.7;3.4;3.1;3.1;;;1.3
Ireland;;;;;;;4.9;5.9;13;3.5;3.9;2.9;2.9;2.9;;;
Israel;;;;;;;3.8;-2.2;7.1;4.1;3.6;3.3;3.2;3.2;;;
Italy;;;;;;;0.3;-8.9;5.8;4.2;1.6;1;1;1;;;
Jamaica;1.4;1;1.9;1.6;1.7;1.9;;;4.6;2.7;2.4;2.1;1.8;1.6;;;2.7
Japan;0.6;1.9;0.8;0.8;0.7;0.6;;;2.4;3.2;1.4;0.8;0.6;0.5;;;1.8
Jordan;2;2.1;2;2.2;2.4;2.6;;;2;2.7;3.1;3.3;3.3;3.3;;;-0.6
Kazakhstan;1.1;4.1;4.1;3.5;3.2;3.2;;;3.3;3.9;5.8;4.1;3.1;3.9;;;0.1
Kenya;5.9;4.9;6.3;5.7;5.9;6;;;5.6;6;5.7;5.5;5.5;5.5;;;-0.4
Kiribati;;;;;;;3.9;-0.5;1.8;2.5;2.3;2.1;2;2;;;
Korea;;;;;;;2.2;-0.9;4.3;3.3;2.8;2.6;2.5;2.4;;;
Kosovo;4.1;4.2;4.2;4.4;4.5;4.5;;;6;4.5;4.2;4;3.7;3.5;;;1.5
Kuwait;2.9;-3.5;1.2;1.6;3;2.9;;;0.9;4.3;2.7;2.7;2.7;2.7;;;-2
Kyrgyz Republic;4.3;4.7;3.5;4.3;4;4.1;;;2.1;5.6;4.6;4.1;4.1;3.8;;;-2
Lao P.D.R.;;;;;;;4.7;-0.4;2.1;4.2;4.5;5.7;6;5.8;;;
Lao PDR;7;6.9;6.5;6.6;6.7;6.6;;;;;;;;;;;
Latin America and the Caribbean (LAC);-0.3;1.7;1.6;1.7;2.5;2.7;;;;;;;;;;;
Latvia;;;;;;;2;-3.6;4.5;5.2;4;3.2;3.2;3;;;
Lebanon;1.6;0.6;0.2;0.9;1.3;1.5;;;0;0;0;0;0;0;;;-1.5
Lesotho;3.1;-0.4;1.7;1.5;0.4;4.1;;;2.8;1.6;1.6;1.8;0.3;2;;;-1.3
Liberia;-1.6;2.5;1.2;0.4;1.6;1.3;;;3.6;4.7;4.9;5.7;5.6;5.6;;;2.3
Libya;;;;;;;13.2;-59.7;123.2;5.3;5.5;1.1;4.8;4.5;;;
Lithuania;;;;;;;4.3;-0.9;4.7;4.1;3.1;2.8;2.6;2.4;;;
Luxembourg;;;;;;;2.3;-1.3;5.5;3.8;3;2.7;2.5;2.5;;;
Macao SAR;;;;;;;-2.6;-56.3;20.4;37.6;26;14.2;3.4;3.1;;;
Madagascar;4.2;4.3;5.2;5.2;5.3;5.1;;;2.9;4.8;5.1;5;5;4.9;;;-2.2
Malawi;2.5;4;3.5;4.5;4.7;5.1;;;2.2;3;4.5;5;6;6;;;-2.9
Malaysia;4.2;5.9;4.7;4.6;4.6;4.6;;;3.5;6;5.7;5.3;5;5;;;-1.1
Maldives;7.3;6.9;7.9;5.7;5.2;5.3;;;18.9;13.2;12.1;6.1;5.4;5.4;;;13.6
Mali;5.8;5.3;4.9;5;4.9;4.8;;;4;5.3;5;5;5;5;;;-0.8
Malta;;;;;;;5.7;-8.3;5.7;6;4.9;4.5;3.7;3.3;;;
Marshall Islands;;;;;;;6.8;-2.4;-1.5;3.5;2.5;2;1.8;1.6;;;
Mauritania;2;3;3.6;6.7;5.8;6;;;2.7;5;8.6;5.3;4;4.2;;;-3.3
Mauritius;3.8;3.8;3.8;3.9;3.9;3.5;;;5;6.7;4;3.5;3.3;3.3;;;1.5
Mexico;2.9;2.1;2;1.7;2;2.4;;;6.2;4;2.2;2;2;2;;;3.8
Micronesia;;;;;;;1.2;-1.8;-3.2;0.6;3.2;1.9;0.8;0.6;;;
Middle East and North Africa (MNA);5.1;1.2;1.4;1.3;3.2;2.7;;;;;;;;;;;
Moldova;4.4;4.7;4;3.4;3.6;3.8;;;4.5;5.2;5.5;5.8;5.4;5;;;0.7
Mongolia;1.4;5.4;6.9;7.2;6.9;6.2;;;5.2;7.5;6.5;6;5.5;5;;;-1
Montenegro;2.9;4.7;4.9;2.9;2.4;2.3;;;;;;;;;;;
Montenegro Rep. of;;;;;;;4.1;-15.2;7;5.6;3.6;3.2;2.9;2.9;;;
Morocco;1.1;4.1;3;2.9;3.5;3.6;;;5.7;3.1;3.6;3.5;3.5;3.4;;;2.1
Mozambique;3.8;3.7;3.3;2;3.5;4.2;;;2.5;5.3;12.6;3.5;3.5;13.9;;;-1.7
Myanmar;5.9;6.8;6.2;6.5;6.6;6.8;;;-17.9;-0.1;2.5;2.5;2.4;2.5;;;-24.7
Namibia;1.1;-0.9;-0.1;0.9;1.5;1.9;;;1.3;3.6;3.1;2.5;2.5;2.5;;;-0.6
Nauru;;;;;;;1;0.7;1.6;0.9;0.8;0.6;0.5;0.5;;;
Nepal;0.6;8.2;6.7;7.1;6.4;6.5;;;1.8;4.4;6.3;5.4;5.1;5.1;;;-4.7
Netherlands;;;;;;;2;-3.8;3.8;3.2;2.1;1.8;1.6;1.6;;;
New Zealand;;;;;;;2.4;-2.1;5.1;3.3;1.7;1.9;2.2;2.4;;;
Nicaragua;4.6;4.7;-3.8;-5;1.1;1.3;;;5;3.5;2.2;2.4;2.6;2.8;;;3.7
Niger;4.9;4.9;5.2;6.5;6;5.6;;;5.4;6.6;10.4;11.4;8.6;6;;;-0.2
Nigeria;-1.6;0.8;1.9;2.1;2.2;2.4;;;2.6;2.7;2.6;2.6;2.6;2.7;;;0.2
North Macedonia;2.8;0.2;2.7;2.9;3.2;3.6;;;4;4.2;3.8;3.7;3.6;3.6;;;0.4
Norway;;;;;;;0.9;-0.8;3;4.1;2.9;1.8;1.4;1.4;;;
Oman;5;-0.9;2.1;1.2;6;2.8;;;2.5;2.9;4.2;2.9;3.3;2.6;;;-0.3
Pakistan;4.6;5.4;5.8;3.4;2.7;4;;;3.9;4;4.5;5;5;5;;;-0.1
Palau;;;;;;;-0.7;-8.7;-19.7;14.9;14.8;3.6;2.7;2.2;;;
Panama;5;5.3;3.7;5;5.4;5.2;;;12;5;5;5;5;5;;;6.8
Papua New Guinea;4.1;2.3;-0.3;5.6;3.1;3.5;;;1.2;4;3.4;2.8;2.9;2.7;;;-2.3
Paraguay;4.3;5;3.6;3.3;4;4;;;4.5;3.8;4;3.5;3.5;3.5;;;0.5
Peru;4;2.5;4;3.8;3.9;4;;;10;4.6;4.5;3.3;3.2;3.2;;;6
Philippines;6.9;6.7;6.2;6.4;6.5;6.5;;;3.2;6.3;7;6.7;6.5;6.5;;;-3.3
Poland;3.1;4.8;5.1;4;3.6;3.3;;;5.1;5.1;3.5;3;3;2.9;;;1.8
Portugal;;;;;;;2.7;-8.4;4.4;5.1;2.5;2.2;2;1.8;;;
Puerto Rico;;;;;;;1.5;-3.9;-0.6;-0.3;-0.3;-0.3;-0.3;-0.4;;;
Qatar;2.1;1.6;1.4;3;3.2;3.4;;;1.9;4;2.6;3.9;4.1;4.2;;;-1.5
Romania;4.8;7;4.1;3.6;3.3;3.1;;;7;4.8;3.8;3.8;3.6;3.5;;;3.9
Russia;0.3;1.6;2.3;1.2;1.8;1.8;;;4.7;2.9;2;1.8;1.7;1.6;;;2.9
Rwanda;6;6.1;8.6;7.8;8;7.5;;;5.1;7;8.1;7.5;7.5;6.1;;;-2.4
Samoa;;;;;;;3.6;-2.7;-7.2;1;4.1;3.7;3.3;2.8;;;
San Marino;;;;;;;2.4;-6.5;5.5;3.7;1.5;1.3;1.3;1.3;;;
Saudi Arabia;1.7;-0.7;2.2;1.7;3.1;2.3;;;2.8;4.8;2.8;2.8;2.8;2.8;;;0.5
Senegal;6.2;7.2;6.8;6.8;7;7;;;4.7;5.5;10.8;6.2;5.4;5.4;;;-2.3
Serbia;3.3;2;4.3;3.5;4;4;;;6.5;4.5;4.5;4;4;4;;;2.5
Seychelles;4.5;5.3;3.6;3.4;3;3.2;;;6.9;7.7;6.8;5;5;4.8;;;3.7
Sierra Leone;6.4;3.8;3.7;5.4;5.4;5.2;;;3.2;5.9;4.4;4.9;4.8;4.2;;;-2
Singapore;;;;;;;1.3;-5.4;6;3.2;2.7;2.6;2.5;2.5;;;
Slovak Republic;;;;;;;2.5;-4.8;4.4;5.2;4.3;3.4;3.1;2.6;;;
Slovenia;;;;;;;3.3;-4.2;6.3;4.6;3.7;3.1;2.9;2.9;;;
Solomon Islands;3.3;3;3.5;2.9;2.8;2.7;;;1.2;4.4;4.5;3.3;3;2.9;;;-1.5
Somalia;;;;;;;2.9;-0.7;1.6;3.9;3.6;3.9;4.1;4.3;;;
South Africa;0.6;1.4;0.8;1.1;1.5;1.7;;;5;2.2;1.4;1.3;1.3;1.3;;;3.3
South Asia (SAR);8.1;6.7;7;6.9;7;7.1;;;;;;;;;;;
South Sudan;;;;;;;0.9;-6.6;5.3;6.5;5.6;4.6;4.6;4.4;;;
Spain;;;;;;;2.1;-10.8;5.7;6.4;2.6;2;1.6;1.5;;;
Sri Lanka;4.5;3.3;3.2;3.5;3.6;3.7;;;3.6;3.3;3.9;4.1;4.1;4.1;;;-0.1
St. Kitts and Nevis;;;;;;;4.8;-14.4;-1;10;5.1;2.8;2.7;2.7;;;
St. Lucia;3.9;3.7;1.5;3.4;3.5;2.4;;;3.5;13.1;8.8;4;1.8;1.5;;;1.1
St. Vincent and the Grenadines;1.3;0.7;2;2.1;2.3;2.3;;;-6.1;8.3;6.1;4.3;3.3;2.7;;;-8.4
Sub-Saharan Africa (SSA);1.3;2.6;2.5;2.9;3.3;3.5;;;;;;;;;;;
Sudan;4.7;4.3;-2.3;-1.9;-1.3;-0.8;;;0.9;3.5;5;6.5;6.8;6.5;;;1.7
Suriname;-5.6;1.4;2;2;2.1;2.1;;;0.7;1.5;2;1.7;1.3;1;;;-1.4
Sweden;;;;;;;2;-2.8;4;3.4;2.8;2;2;2;;;
Switzerland;;;;;;;1.2;-2.5;3.7;3;1.4;1.8;1.2;1.8;;;
São Tomé and Príncipe;;;;;;;2.2;3;2.1;2.9;3.3;3.5;3.7;4;;;
Taiwan Province of China;;;;;;;3;3.1;5.9;3.3;2.6;2.2;2.1;2.1;;;
Tajikistan;6.9;7.1;7.3;6;6;6;;;5;4.5;4;4;4;4;;;-1
Tanzania;6.9;6.8;6;5.4;5.7;6.1;;;4;5.1;5.5;5.8;6;6;;;-2.1
Thailand;3.4;4;4.1;3.5;3.6;3.7;;;1;4.5;4;3.6;3.5;3.6;;;-2.7
Timor-Leste;5.1;-3.5;-0.7;3.9;4.6;5;;;1.8;3.8;2.6;2;2.8;3;;;-3.2
Togo;5.2;4.3;4.9;5;5.2;5.1;;;4.8;5.9;6.1;6.3;6.5;6.5;;;-0.3
Tonga;;;;;;;0.7;0.7;-2;2.9;3.7;3;2;1.8;;;
Trinidad and Tobago;-6.5;-1.9;0.7;0.9;1.5;2.1;;;-1;5.4;2.1;1.6;1.6;1.6;;;-3.1
Tunisia;1.1;2;2.5;2.7;3.2;3.5;;;3;3.3;2.5;2.3;2.2;2.1;;;-0.5
Turkey;3.2;7.4;2.6;-1;3;4;;;9;3.3;3.3;3.3;3.3;3.3;;;5
Turkmenistan;6.2;6.5;6.2;5.6;5.1;4.9;;;4.5;1.7;1.7;1.8;1.9;1.9;;;-0.4
Tuvalu;;;;;;;13.9;1;2.5;3.5;3.8;4;3.8;3.7;;;
Uganda;4.6;3.9;5.9;6.1;6.5;5.8;;;4.7;5.1;6.6;6.7;7.4;6.8;;;-1.1
Ukraine;2.4;2.5;3.3;2.7;3.4;3.8;;;3.5;3.6;3.4;3.8;4;4;;;-0.3
United Arab Emirates;3;0.8;1.7;2.6;3;3.2;;;2.2;3;3;3.1;3.2;3.3;;;-1
United Kingdom;;;;;;;1.4;-9.8;6.8;5;1.9;1.6;1.5;1.5;;;
United States;1.6;2.2;2.9;2.5;1.7;1.6;;;6;5.2;2.2;1.7;1.7;1.7;;;4.4
Uruguay;1.7;2.6;1.6;1.5;2.3;2.5;;;3.1;3.2;2.7;2.5;2.2;2.2;;;0.6
Uzbekistan;6.1;4.5;5.1;5.3;5.5;6;;;6.1;5.4;5.5;5.5;5.5;5.5;;;0.1
Vanuatu;;;;;;;3.9;-6.8;1.2;3;4.1;3.7;2.7;2.7;;;
Venezuela;;;;;;;-35;-30;-5;-3;0;0;0;0;;;
Vietnam;6.2;6.8;7.1;6.6;6.5;6.5;;;3.8;6.6;6.8;7;7.1;6.9;;;-2.7
West Bank and Gaza;4.7;3.1;0.9;0.5;1;1.6;;;4.4;6;4.1;2.4;2;2;;;2.8
World;2.6;3.1;3;2.6;2.7;2.8;;;5.9;4.9;3.6;3.4;3.3;3.3;;;3.1
Yemen;;;;;;;1.4;-8.5;-2;1;7;6.5;6;5.5;;;
Zambia;3.6;3.4;3.5;2.5;2.8;2.8;;;1;1.1;1.3;1.4;1.4;1.5;;;-1.8
Zimbabwe;0.8;4.7;3.5;-3.1;3.5;4.9;;;5.1;3.1;3;3;3.1;3;;;0.2
